Date Live,Game ID,Grid Key,Answer Key,QA Link,Name,DB status,TS Difficulty Rating,Size,Dupe?,QA?,Notes,Win Rate Overall,New Player Win Rate,India WR,India NPWR
5/11,11,"[0, 0, 1, 1, 6, 6, 6, 6, 6, 6, 0, 0, 0, 1, 1, 3, 3, 6, 6, 6, 6, 6, 0, 1, 1, 2, 3, 3, 6, 6, 6, 5, 5, 2, 2, 2, 3, 3, 6, 6, 6, 5, 5, 2, 2, 7, 7, 6, 6, 6, 6, 9, 5, 5, 7, 7, 4, 4, 6, 6, 6, 9, 9, 9, 7, 7, 8, 4, 4, 6, 6, 6, 9, 9, 8, 8, 8, 4, 4, 6, 6, 6, 6, 6, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[2, 10, 27, 34, 46, 53, 61, 78, 85, 99]",https://www.linkedin.com/games/queens/?puzzleId=11,"""Packed Like Sardines""",DB Game is good,Medium,10x10,Unique,,,,,,
5/12,12,"[5, 5, 8, 8, 6, 6, 4, 4, 4, 7, 5, 5, 8, 8, 6, 6, 4, 4, 7, 7, 5, 5, 8, 8, 6, 6, 4, 2, 7, 7, 5, 5, 8, 8, 6, 6, 2, 2, 7, 7, 5, 5, 8, 8, 6, 1, 2, 2, 7, 7, 5, 5, 8, 8, 1, 1, 2, 2, 7, 7, 5, 5, 8, 0, 1, 1, 2, 2, 7, 3, 5, 5, 0, 0, 1, 1, 2, 2, 3, 3, 5]","[8, 13, 25, 29, 41, 45, 57, 69, 73]",https://www.linkedin.com/games/queens/?puzzleId=12,"""Staircases""",DB Game is good,Hard ,9x9,Unique,,,,,,
5/13,13,"[5, 5, 5, 5, 3, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 5, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 0, 3, 3, 3, 3, 4, 2, 2, 2, 1, 1, 6, 6, 4, 2, 2, 2, 1, 1, 7, 6, 6, 2, 2, 2, 6, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0, 15, 17, 27, 37, 42, 54, 60]",https://www.linkedin.com/games/queens/?puzzleId=13,"""Increasing Squares""",DB Game is good,Easy,8x8,Unique,,,,,,
5/14,14,"[7, 5, 5, 1, 1, 1, 1, 7, 7, 7, 5, 5, 3, 3, 7, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 4, 0, 2, 7, 7, 7, 7, 4, 4, 0, 2, 2, 7, 7, 6, 4, 4, 0, 0, 2, 2, 6, 6, 6, 6]","[6, 10, 20, 25, 39, 40, 53, 59]",https://www.linkedin.com/games/queens/?puzzleId=14,"""Big V""",DB Game is good,Medium,8x8,Unique,,,,,,
5/15,15,"[6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 1, 1, 1, 6, 3, 6, 6, 7, 5, 5, 5, 6, 3, 3, 6, 7, 7, 5, 6, 6, 3, 6, 6, 7, 6, 6, 6, 4, 6, 6, 2, 2, 2, 6, 4, 4, 6, 6, 6, 2, 6, 6, 0, 4, 6, 6, 6, 6, 6, 0, 0, 0]","[1, 12, 22, 27, 32, 42, 55, 61]",https://www.linkedin.com/games/queens/?puzzleId=15,"""Tee It Up""",DB Game is good,Medium,8x8,Unique,,,,,,
5/16,16,"[8, 4, 3, 3, 3, 3, 6, 6, 6, 8, 4, 3, 4, 4, 4, 4, 4, 6, 8, 4, 3, 4, 0, 0, 0, 4, 6, 8, 4, 2, 4, 0, 4, 0, 4, 6, 7, 4, 2, 4, 0, 4, 1, 4, 6, 7, 4, 2, 4, 4, 4, 1, 4, 6, 7, 4, 2, 2, 1, 1, 1, 4, 5, 7, 4, 4, 4, 4, 4, 4, 4, 5, 7, 7, 7, 5, 5, 5, 5, 5, 5]","[7, 14, 20, 27, 40, 51, 57, 71, 73]",https://www.linkedin.com/games/queens/?puzzleId=16,"""Spiral""",DB Game is good,Medium,9x9,Unique,,,,,,
5/17,17,"[5, 1, 1, 1, 1, 1, 7, 7, 7, 5, 1, 1, 1, 0, 1, 1, 1, 7, 5, 1, 1, 6, 0, 0, 7, 7, 7, 5, 1, 6, 6, 4, 0, 2, 7, 7, 5, 6, 6, 4, 4, 4, 2, 2, 7, 5, 5, 6, 3, 4, 2, 2, 8, 7, 5, 5, 5, 3, 3, 3, 8, 8, 7, 5, 5, 8, 8, 3, 8, 8, 7, 7, 8, 8, 8, 8, 8, 8, 7, 7, 7]","[0, 16, 23, 29, 40, 51, 57, 71, 73]",https://www.linkedin.com/games/queens/?puzzleId=17,"""Diamond""",DB Game is good,Medium,9x9,Unique,,,,,,
5/18,18,"[4, 7, 7, 7, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1, 4, 4, 5, 5, 4, 2, 1, 1, 6, 3, 5, 5, 2, 2, 2, 6, 6, 6, 3, 2, 2, 2, 2, 8, 6, 0, 6, 3, 3, 3, 2, 8, 8, 6, 0, 6, 3, 3, 3, 3, 8, 6, 6, 0, 6, 3, 3, 3, 3, 3, 3, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 9, 24, 28, 39, 52, 58, 71, 77]",https://www.linkedin.com/games/queens/?puzzleId=18,"""Sunshine""",DB Game is good,Hard ,9x9,Unique,,,,,,
5/19,19,"[4, 4, 4, 4, 4, 2, 2, 2, 2, 4, 4, 4, 4, 7, 2, 2, 2, 2, 4, 4, 0, 7, 7, 5, 5, 2, 2, 4, 0, 0, 7, 7, 5, 1, 1, 2, 4, 0, 6, 7, 8, 5, 2, 1, 2, 4, 6, 6, 6, 8, 6, 2, 2, 2, 4, 6, 8, 6, 8, 6, 6, 6, 6, 6, 6, 8, 8, 8, 6, 3, 3, 3, 6, 6, 6, 6, 6, 6, 3, 3, 3]","[0, 13, 20, 34, 41, 53, 55, 66, 78]",https://www.linkedin.com/games/queens/?puzzleId=19,"""Umbrella""",DB Game is good,Very Hard,9x9,Unique,,,,,,
5/20,20,"[5, 4, 4, 4, 4, 4, 4, 5, 4, 0, 0, 4, 4, 4, 2, 2, 0, 0, 4, 4, 4, 2, 2, 0, 0, 3, 4, 4, 2, 2, 0, 0, 3, 1, 1, 2, 2, 0, 0, 3, 1, 1, 2, 2, 0, 0, 6, 6, 6]","[3, 7, 16, 25, 34, 36, 47]",https://www.linkedin.com/games/queens/?puzzleId=20,"""Full of Rectangles""",DB Game is good,Easy,7x7,Unique,,,,,,
5/21,21,"[4, 4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 7, 7, 6, 6, 8, 8, 4, 4, 4, 7, 7, 6, 6, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 2, 2, 5, 5, 4, 4, 4, 4, 4, 2, 2, 4, 4, 3, 3, 4, 4, 0, 0, 1, 1, 4, 3, 3, 4, 4, 0, 0, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[8, 15, 21, 32, 38, 52, 55, 67, 72]",https://www.linkedin.com/games/queens/?puzzleId=21,"""Little Boxes""",DB Game is good,Easy,9x9,Unique,,,,,,
5/22,22,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 4, 3, 3, 3, 3, 2, 4, 2, 4, 3, 3, 0, 0, 4, 4, 4, 4, 6, 6, 0, 1, 1, 4, 4, 7, 7, 6, 0, 0, 1, 4, 4, 4, 7, 6, 5, 1, 1, 5, 4, 7, 7, 6, 5, 5, 5, 5, 4, 4, 6, 6]","[4, 10, 21, 31, 32, 46, 49, 59]",https://www.linkedin.com/games/queens/?puzzleId=22,"""Crescents""",DB Game is good,Medium,8x8,Unique,,,,,,
5/23,23,"[1, 1, 1, 1, 1, 7, 7, 7, 7, 1, 2, 1, 1, 1, 5, 5, 5, 7, 1, 2, 6, 1, 4, 5, 5, 7, 7, 1, 2, 6, 6, 4, 5, 7, 7, 7, 8, 8, 4, 4, 4, 4, 4, 7, 8, 8, 8, 8, 3, 4, 0, 0, 0, 8, 8, 8, 3, 3, 4, 8, 0, 0, 8, 8, 3, 3, 3, 8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[0, 14, 19, 30, 43, 49, 60, 65, 80]",https://www.linkedin.com/games/queens/?puzzleId=23,"""Windmill""",DB Game is good,Medium,9x9,Unique,,Hinter works,,,,
5/24,24,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 6, 5, 5, 5, 6, 6, 0, 0, 0, 6, 5, 5, 5, 7, 6, 0, 0, 4, 6, 6, 5, 5, 7, 6, 4, 4, 4, 4, 6, 6, 3, 3, 6, 1, 1, 4, 4, 4, 2, 2, 3, 6, 1, 1, 1, 4, 2, 2, 2, 3, 6, 1, 1, 1, 3, 2, 2, 2, 3, 6, 8, 8, 3, 3, 3, 3, 3, 3]","[0, 14, 26, 29, 43, 49, 60, 66, 73]",https://www.linkedin.com/games/queens/?puzzleId=24,"""Window""",DB Game is good,Hard ,9x9,Unique,,Hinter works,,,,
5/25,25,"[9, 9, 9, 9, 2, 5, 5, 5, 5, 5, 4, 3, 6, 6, 2, 7, 5, 1, 1, 1, 4, 3, 6, 6, 2, 7, 5, 5, 7, 1, 4, 3, 6, 6, 2, 7, 7, 7, 7, 1, 4, 4, 6, 6, 2, 4, 1, 1, 7, 1, 4, 4, 6, 6, 2, 4, 8, 1, 1, 1, 4, 4, 6, 6, 4, 4, 8, 8, 1, 8, 4, 4, 4, 4, 4, 8, 8, 8, 1, 8, 0, 0, 0, 4, 4, 8, 8, 8, 1, 8, 0, 0, 0, 4, 4, 8, 8, 8, 8, 8]","[3, 16, 21, 37, 44, 52, 65, 78, 80, 99]",https://www.linkedin.com/games/queens/?puzzleId=25,"""Order and Chaos""",DB Game is good,Hard ,10x10,Unique,,Hinter works,,,,
5/26,26,"[6, 6, 6, 6, 6, 2, 2, 2, 2, 6, 6, 0, 6, 5, 2, 2, 1, 2, 6, 0, 0, 0, 5, 5, 1, 1, 1, 6, 6, 0, 6, 5, 5, 6, 1, 6, 3, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 7, 6, 4, 6, 6, 8, 6, 3, 7, 7, 7, 4, 4, 8, 8, 8, 3, 3, 7, 3, 4, 3, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[6, 11, 26, 32, 39, 52, 55, 67, 72]",https://www.linkedin.com/games/queens/?puzzleId=26,"""Plus Signs""",DB Game is good,Hard ,9x9,Unique,,Hinter works now,,,,
5/27,27,"[4, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 3, 7, 7, 7, 4, 5, 4, 3, 3, 7, 7, 7, 4, 5, 4, 4, 4, 4, 4, 1, 4, 6, 6, 2, 2, 2, 4, 1, 4, 6, 6, 4, 4, 4, 4, 1, 4, 6, 6, 4, 4, 4, 4, 4, 4, 0, 0, 0, 4, 4, 4, 4, 4]","[3, 13, 16, 30, 36, 41, 55, 58]",https://www.linkedin.com/games/queens/?puzzleId=27,"""Boxes""",DB Game is good,Easy,8x8,Unique,,Hinter works,,,,
5/28,28,"[4, 4, 4, 1, 1, 4, 7, 7, 5, 4, 8, 8, 8, 1, 4, 7, 5, 5, 4, 8, 1, 1, 1, 4, 7, 7, 7, 4, 8, 8, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 0, 4, 4, 4, 3, 6, 6, 6, 4, 0, 4, 0, 4, 4, 6, 2, 2, 4, 0, 0, 0, 4, 4, 6, 6, 2, 4, 4, 4, 4, 4, 4]","[8, 13, 25, 28, 42, 48, 54, 68, 74]",https://www.linkedin.com/games/queens/?puzzleId=28,"""Hooks""",DB Game is good,Easy,9x9,Unique,,Hinter works,,,,
5/29,29,"[4, 4, 4, 4, 4, 4, 4, 4, 9, 9, 4, 4, 4, 4, 4, 7, 7, 3, 3, 9, 4, 4, 4, 4, 2, 2, 7, 3, 9, 9, 4, 8, 8, 4, 2, 7, 7, 3, 3, 9, 4, 8, 4, 4, 2, 2, 7, 3, 5, 5, 4, 8, 8, 1, 2, 1, 4, 4, 4, 5, 4, 8, 4, 1, 1, 1, 1, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 0, 4, 0, 4, 4, 4, 6, 4, 6, 0, 0, 0, 0, 4, 4, 6, 6, 6, 6]","[8, 15, 27, 32, 44, 50, 63, 79, 81, 96]",https://www.linkedin.com/games/queens/?puzzleId=29,"""Combs""",DB Game is good,Medium,10x10,Unique,,Hinter works,,,,
5/30,30,"[2, 2, 2, 8, 8, 8, 8, 8, 8, 2, 1, 2, 7, 7, 8, 7, 7, 8, 2, 1, 1, 7, 7, 7, 7, 7, 8, 0, 0, 0, 4, 3, 4, 7, 7, 8, 0, 0, 0, 4, 3, 4, 8, 8, 8, 0, 0, 0, 4, 4, 4, 8, 8, 8, 0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0, 0, 0, 0, 6, 5, 6, 0, 0, 0, 0, 0, 0, 6, 6, 6]","[0, 12, 19, 31, 44, 50, 61, 65, 78]",https://www.linkedin.com/games/queens/?puzzleId=30,"""3x3 Boxes""",DB Game is good,Medium,9x9,Unique,,Hinter works,,,,
5/31,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 5, 5, 5, 5, 0, 0, 5, 2, 2, 2, 3, 3, 5, 0, 0, 5, 2, 4, 4, 4, 3, 5, 0, 0, 5, 2, 4, 4, 4, 3, 5, 0, 0, 5, 1, 4, 4, 4, 1, 5, 0, 0, 7, 1, 1, 1, 1, 1, 5, 6, 0, 7, 7, 7, 7, 7, 5, 5, 6, 0, 0, 0, 0, 8, 8, 8, 6, 6]","[0, 16, 21, 33, 40, 47, 62, 64, 77]",https://www.linkedin.com/games/queens/?puzzleId=31,"""Layers Upon Layers""",DB Game is good,Hard,9x9,Unique,,Hinter works,,,,
6/1,32,"[8, 8, 0, 10, 2, 2, 2, 1, 3, 1, 2, 8, 8, 0, 10, 10, 2, 2, 1, 3, 1, 2, 0, 8, 0, 10, 6, 6, 2, 1, 3, 1, 2, 0, 8, 0, 10, 6, 6, 2, 1, 1, 1, 2, 0, 0, 0, 10, 6, 6, 2, 2, 1, 2, 2, 10, 10, 10, 10, 6, 2, 2, 2, 2, 2, 2, 10, 7, 6, 6, 6, 6, 6, 2, 5, 5, 5, 10, 7, 7, 7, 6, 2, 2, 2, 5, 9, 9, 10, 7, 4, 7, 6, 2, 2, 2, 5, 5, 9, 10, 7, 4, 7, 6, 2, 2, 2, 5, 9, 9, 10, 7, 4, 7, 6, 6, 2, 2, 5, 5, 5]","[8, 15, 23, 40, 44, 61, 75, 80, 98, 101, 115]",https://www.linkedin.com/games/queens/?puzzleId=32,"""First Puzzle of June""",DB Game is good,Hard ,11x11,Unique,,Hinter works,,,,
6/2,33,"[2, 2, 2, 4, 4, 4, 4, 1, 1, 1, 2, 2, 3, 4, 8, 8, 5, 5, 1, 1, 2, 3, 3, 3, 8, 8, 5, 5, 5, 1, 6, 6, 3, 8, 8, 8, 8, 5, 5, 5, 6, 8, 8, 8, 8, 8, 8, 8, 8, 5, 6, 6, 8, 8, 8, 8, 8, 8, 0, 5, 6, 7, 7, 8, 8, 8, 8, 0, 0, 0, 6, 7, 8, 8, 7, 7, 8, 8, 0, 0, 6, 7, 8, 7, 7, 9, 9, 8, 9, 0, 7, 7, 7, 7, 9, 9, 9, 9, 9, 0]","[7, 13, 20, 32, 49, 51, 65, 78, 84, 96]",https://www.linkedin.com/games/queens/?puzzleId=33,"""Star""",DB Game is good,Hard ,10x10,Unique,,Hinter works,,,,
6/3,34,"[0, 0, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 6, 6]","[2, 8, 20, 25, 38, 43, 53, 63]",https://www.linkedin.com/games/queens/?puzzleId=34,"""Stripes""",DB Game is good,Easy,8x8,Unique,,Hinter works now,,,,
6/4,35,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 2, 4, 5, 4, 4, 3, 1, 2, 2, 2, 5, 4, 3, 3, 3, 6, 2, 5, 5, 4, 4, 3, 6, 6, 6, 0, 5, 4, 7, 7, 7, 6, 0, 0, 5, 4, 4, 4, 7, 7, 7, 5, 5]","[0, 11, 21, 26, 36, 46, 49, 63]",https://www.linkedin.com/games/queens/?puzzleId=35,"""Positive Attraction""",DB Game is good,Easy,8x8,Unique,,Hinter works now,,,,
6/5,36,"[0, 0, 0, 0, 8, 8, 8, 8, 4, 0, 0, 0, 8, 8, 2, 2, 3, 4, 0, 0, 4, 8, 8, 3, 2, 3, 4, 0, 4, 4, 8, 3, 3, 3, 3, 4, 4, 4, 4, 7, 3, 3, 4, 4, 4, 4, 5, 6, 7, 7, 4, 4, 4, 1, 4, 5, 6, 6, 4, 4, 4, 1, 1, 4, 5, 5, 6, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4, 1, 1, 1, 1]","[7, 14, 18, 33, 38, 49, 55, 66, 80]",https://www.linkedin.com/games/queens/?puzzleId=36,"""Barbell""",DB Game is good,Medium,9x9,Unique,,Hinter works,,,,
6/6,37,"[1, 4, 4, 2, 8, 8, 8, 8, 4, 4, 1, 4, 4, 2, 2, 4, 8, 4, 4, 3, 1, 1, 4, 2, 4, 4, 4, 4, 3, 3, 1, 4, 4, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 9, 3, 0, 0, 0, 0, 4, 4, 9, 9, 9, 9, 7, 0, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 5, 5, 5, 5, 7, 4, 4, 6, 4, 4, 4, 4, 5, 4, 7, 6, 6, 6, 6, 4, 4, 4, 4, 4]","[6, 19, 21, 33, 48, 52, 65, 77, 80, 94]",https://www.linkedin.com/games/queens/?puzzleId=37,"""Ys Guy""",DB Game is good,Medium,10x10,Unique,,Hinter works,,,,
6/7,38,"[7, 7, 1, 1, 1, 1, 5, 5, 5, 3, 7, 1, 1, 1, 1, 1, 1, 5, 3, 7, 1, 8, 8, 8, 1, 1, 1, 3, 7, 1, 1, 1, 8, 1, 1, 1, 7, 7, 7, 8, 8, 8, 2, 2, 2, 0, 0, 0, 8, 6, 6, 6, 6, 2, 0, 4, 4, 8, 8, 8, 6, 2, 2, 0, 4, 4, 4, 4, 4, 4, 4, 2, 0, 4, 4, 4, 4, 4, 2, 2, 2]","[1, 17, 18, 30, 41, 47, 60, 67, 79]",https://www.linkedin.com/games/queens/?puzzleId=38,"""Easy as 1, 2, 3?""",DB Game is good,Hard ,9x9,Unique,,Hinter works now,,,,
6/8,39,"[3, 3, 3, 2, 2, 4, 4, 4, 4, 4, 4, 5, 5, 3, 3, 2, 4, 4, 4, 4, 4, 4, 1, 5, 0, 0, 2, 4, 4, 4, 4, 4, 4, 1, 5, 5, 0, 2, 4, 4, 4, 4, 4, 4, 1, 1, 1, 0, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 11, 11, 11, 11, 4, 4, 4, 4, 4, 4, 6, 6, 6, 11, 10, 4, 4, 4, 4, 4, 4, 9, 8, 6, 8, 10, 4, 4, 4, 4, 4, 4, 9, 8, 8, 8, 10, 4, 4, 4, 4, 4, 4, 9, 9, 9, 10, 10]","[2, 15, 23, 36, 44, 60, 75, 84, 98, 107, 116]",https://www.linkedin.com/games/queens/?puzzleId=39,"""Two Mini Puzzles""",DB Game is good,Hard ,11x11,Unique,,"hinter wes tested, works; BUT with granular cell cannot be queen check it does not work",,,,
6/9,40,"[6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 1, 4, 4, 4, 4, 4, 4, 4, 0, 0, 1, 1, 4, 4, 2, 4, 4, 4, 4, 0, 1, 4, 3, 4, 2, 2, 4, 4, 4, 4, 4, 4, 3, 3, 2, 9, 4, 4, 4, 4, 4, 4, 3, 5, 9, 9, 4, 4, 4, 4, 8, 4, 5, 5, 5, 9, 4, 4, 7, 8, 8, 4, 4, 4, 4, 4, 4, 7, 7, 7, 8, 4, 4, 4, 4, 4]","[2, 10, 23, 35, 48, 56, 69, 77, 84, 91]",https://www.linkedin.com/games/queens/?puzzleId=40,"""Big Tease""",DB Game is good,Very Hard,10x10,Unique,,Hinter works,,,,
